Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-06-11 00:00:00-04:00,23.649999618530273,25.299999237060547,22.0,24.68000030517578,3079300,0.0,0.0
2025-06-12 00:00:00-04:00,24.049999237060547,24.989999771118164,23.16900062561035,24.0,208700,0.0,0.0
2025-06-13 00:00:00-04:00,23.59000015258789,23.860000610351562,23.200000762939453,23.65999984741211,127700,0.0,0.0
2025-06-16 00:00:00-04:00,23.889999389648438,23.889999389648438,23.299999237060547,23.5,145200,0.0,0.0
2025-06-17 00:00:00-04:00,23.239999771118164,23.700000762939453,23.0,23.579999923706055,138200,0.0,0.0
2025-06-18 00:00:00-04:00,23.59000015258789,23.77899932861328,23.30500030517578,23.440000534057617,72900,0.0,0.0
2025-06-20 00:00:00-04:00,23.40999984741211,23.690000534057617,22.56999969482422,22.56999969482422,189800,0.0,0.0
2025-06-23 00:00:00-04:00,22.59000015258789,22.940000534057617,22.329999923706055,22.579999923706055,100200,0.0,0.0
2025-06-24 00:00:00-04:00,22.899999618530273,23.0,22.239999771118164,22.43000030517578,46400,0.0,0.0
2025-06-25 00:00:00-04:00,22.15999984741211,22.690000534057617,21.760000228881836,22.149999618530273,89900,0.0,0.0
2025-06-26 00:00:00-04:00,22.149999618530273,22.65999984741211,21.0,21.049999237060547,253200,0.0,0.0
2025-06-27 00:00:00-04:00,21.110000610351562,22.40999984741211,21.0,22.34000015258789,217500,0.0,0.0
2025-06-30 00:00:00-04:00,22.219999313354492,22.450000762939453,21.040000915527344,21.520000457763672,136600,0.0,0.0
2025-07-01 00:00:00-04:00,21.170000076293945,21.90999984741211,20.229999542236328,21.600000381469727,121900,0.0,0.0
2025-07-02 00:00:00-04:00,20.900999069213867,21.920000076293945,20.200000762939453,20.700000762939453,67600,0.0,0.0
2025-07-03 00:00:00-04:00,20.8799991607666,21.1299991607666,20.503999710083008,21.1299991607666,29400,0.0,0.0
2025-07-07 00:00:00-04:00,21.010000228881836,22.530000686645508,21.0,21.690000534057617,134700,0.0,0.0
2025-07-08 00:00:00-04:00,21.950000762939453,22.68000030517578,21.184999465942383,21.5,95900,0.0,0.0
2025-07-09 00:00:00-04:00,21.809999465942383,21.940000534057617,21.030000686645508,21.09000015258789,107900,0.0,0.0
2025-07-10 00:00:00-04:00,21.40999984741211,21.420000076293945,20.209999084472656,20.920000076293945,136700,0.0,0.0
2025-07-11 00:00:00-04:00,20.530000686645508,21.0,20.049999237060547,20.049999237060547,59600,0.0,0.0
2025-07-14 00:00:00-04:00,20.049999237060547,20.719999313354492,19.684999465942383,20.440000534057617,123500,0.0,0.0
2025-07-15 00:00:00-04:00,20.639999389648438,21.29800033569336,20.229999542236328,20.68000030517578,183200,0.0,0.0
2025-07-16 00:00:00-04:00,20.81999969482422,21.40999984741211,20.350000381469727,21.31999969482422,37400,0.0,0.0
2025-07-17 00:00:00-04:00,21.1200008392334,21.56999969482422,20.417999267578125,20.700000762939453,79300,0.0,0.0
2025-07-18 00:00:00-04:00,21.010000228881836,21.18000030517578,20.290000915527344,20.290000915527344,36200,0.0,0.0
2025-07-21 00:00:00-04:00,20.350000381469727,21.93000030517578,20.21500015258789,21.59000015258789,68300,0.0,0.0
2025-07-22 00:00:00-04:00,21.84000015258789,21.84000015258789,20.81399917602539,21.40999984741211,69200,0.0,0.0
2025-07-23 00:00:00-04:00,21.5,21.600000381469727,20.670000076293945,20.81999969482422,77900,0.0,0.0
2025-07-24 00:00:00-04:00,21.43000030517578,21.889999389648438,21.049999237060547,21.739999771118164,73200,0.0,0.0
2025-07-25 00:00:00-04:00,21.690000534057617,21.690000534057617,21.059999465942383,21.309999465942383,63700,0.0,0.0
2025-07-28 00:00:00-04:00,21.600000381469727,21.600000381469727,20.80500030517578,21.239999771118164,52300,0.0,0.0
2025-07-29 00:00:00-04:00,21.31999969482422,21.450000762939453,20.170000076293945,20.440000534057617,119700,0.0,0.0
2025-07-30 00:00:00-04:00,19.93000030517578,20.799999237060547,19.299999237060547,19.719999313354492,165600,0.0,0.0
2025-07-31 00:00:00-04:00,19.670000076293945,20.155000686645508,19.40999984741211,19.979999542236328,107000,0.0,0.0
2025-08-01 00:00:00-04:00,19.780000686645508,20.354999542236328,19.610000610351562,19.899999618530273,114600,0.0,0.0
